BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
1450,998,1,1,2,1,1,1,1
1451,834,1,2,1,1,1,1,1
1452,2074,1,2,1,1,1,1,1
1453,762,1,2,1,1,1,1,1
1454,1678,1,1,2,1,1,1,1
1455,1005,1,1,2,1,1,1,1
1456,1634,1,2,1,1,1,1,1
1457,1099,1,2,1,1,1,1,1
1458,1024,1,2,1,1,1,1,1
1459,456,1,1,2,1,1,1,1
1460,571,1,1,2,1,1,1,1
1461,1350,1,2,1,1,1,1,1
1462,1071,1,2,1,1,1,1,1
1463,1051,1,2,1,1,1,1,1
1464,1153,1,2,1,1,1,1,1
1465,2037,1,2,1,1,1,1,1
1466,1203,1,2,1,1,1,1,1
1467,1496,1,2,1,1,1,1,1
1468,1590,1,2,1,1,1,1,1
1469,859,1,2,1,1,1,1,1
1470,1283,1,1,2,1,1,1,1
1471,644,1,2,1,1,1,1,1
1472,6414,1,2,1,2,1,1,1
1473,4064,1,2,1,1,1,1,1
1474,1849,1,2,1,1,1,1,1
1475,610,1,1,2,1,1,1,2
1476,1096,1,1,2,1,1,1,2
1477,2354,1,2,1,2,1,1,1
1478,543,1,2,1,2,1,1,1
1479,1081,1,2,1,1,1,1,1
1480,794,1,1,2,1,1,1,2
1481,1081,1,2,1,1,1,1,1
1482,3625,1,2,1,1,1,2,1
1483,1521,1,2,1,1,1,1,1
1484,350,1,2,1,1,1,1,1
1485,998,1,2,1,1,1,1,1
1486,1405,1,2,1,1,1,1,1
1487,1258,1,2,1,1,1,1,1
1488,1774,1,2,1,1,1,1,1
1489,751,1,2,1,1,1,1,1
1490,345,1,2,1,1,1,1,1
1491,1291,1,1,2,1,1,1,1
1492,1241,1,2,1,1,1,1,1
1493,1056,1,2,1,2,1,1,1
1494,1898,1,2,1,2,1,1,1
1495,590,1,2,1,1,1,1,1
1496,1153,1,2,1,1,1,1,1
1497,1003,1,2,1,1,1,1,1
1498,773,1,2,1,1,1,1,1
1499,1112,1,2,1,2,1,1,1
1500,432,1,2,1,1,1,1,1
1501,1905,1,2,1,1,1,1,1
1502,5637,1,2,1,1,1,1,2
1503,526,1,2,1,1,1,1,1
1504,4512,1,2,1,1,1,1,1
1505,7119,1,2,1,1,1,1,1
1506,3879,1,1,2,1,1,1,1
1507,682,1,2,1,1,1,1,1
1508,3387,1,2,1,1,1,1,1
1510,1026,1,1,2,1,1,1,1
1511,13197,1,1,2,1,1,2,2
1512,1726,1,2,1,1,1,1,1
1513,4681,1,2,1,1,1,2,1
1514,1766,1,2,1,1,1,1,1
1515,856,1,2,1,1,1,1,1
1516,658,1,1,2,1,1,1,1
1517,1430,1,1,2,1,1,1,1
1518,1294,1,2,1,1,1,1,1
1519,520,1,2,1,1,1,1,1
1520,1674,1,1,2,1,1,1,1
1521,893,1,2,1,1,1,2,1
1522,1691,1,1,2,1,1,1,1
1523,725,1,1,2,1,1,2,2
1524,1802,1,1,2,1,1,1,1
1525,4019,1,1,2,1,1,1,1
1526,988,1,2,1,1,1,1,1
1527,5271,1,2,1,1,1,1,1
1528,741,1,2,1,2,1,1,1
1529,2503,1,2,1,1,1,1,1
1530,3480,1,2,1,1,1,1,1
1531,3091,1,2,1,1,1,1,1
1532,3158,1,2,1,1,1,1,1
1533,3986,1,2,1,1,1,1,1
1534,4644,1,2,1,1,1,1,1
1535,1271,1,2,1,1,1,1,1
1536,2612,1,2,1,1,1,1,1
1537,842,1,2,1,1,1,1,1
1538,570,1,2,1,1,1,1,1
1539,1338,1,1,2,1,1,1,1
1540,915,1,2,1,2,1,1,2
1541,1010,1,1,2,1,1,1,1
1542,1900,1,2,1,1,1,1,1
1543,2709,1,2,1,1,1,1,1
1544,5234,1,2,1,1,1,1,1
1545,1238,1,1,2,1,1,1,1
1546,1035,1,1,2,1,1,1,1
1547,1060,1,2,1,1,1,1,1
1548,3453,1,2,1,1,1,1,1
1549,1060,1,2,1,1,1,1,1
1550,1480,1,2,1,1,1,1,1
1551,1643,1,1,2,1,1,1,2
1552,818,1,2,1,1,1,1,1
1553,3783,1,1,2,1,1,1,1
1554,2272,1,2,1,2,1,1,1
1555,307,1,2,1,1,1,1,1
1556,856,1,2,1,1,1,1,1
1557,1085,1,2,1,1,1,1,1
1558,1132,1,2,1,1,1,1,1
1559,2968,1,2,1,2,1,1,1
1560,6950,1,2,1,1,1,1,1
1561,1034,1,2,1,1,1,1,1
1562,396,1,1,2,1,1,1,1
1563,1581,1,1,2,1,1,1,1
1564,2465,1,2,1,2,1,1,1
1565,783,1,2,1,1,1,1,1
1566,681,1,2,1,1,1,1,1
1567,1200,1,2,1,1,1,1,1
1568,1350,1,2,1,1,1,1,1
1569,728,1,2,1,1,1,1,1
1570,8811,1,2,1,1,1,1,1
1571,2985,1,2,1,2,1,1,1
1572,2032,1,2,1,2,1,1,1
1573,1672,1,1,2,1,1,1,1
1574,1415,1,2,1,1,1,1,1
1575,2242,1,1,2,1,1,1,1
1576,6035,1,1,2,1,1,1,1
1577,4019,1,1,2,1,1,1,1
1578,6789,1,2,1,1,1,1,1
1579,5260,1,2,1,1,1,1,1
1580,5396,1,2,1,1,1,1,1
1581,1190,1,2,1,1,1,1,1
1582,3420,1,2,1,1,1,1,1
1583,1793,1,1,2,1,1,1,1
1584,1074,1,1,2,1,1,1,1
1585,1004,1,1,2,1,1,1,1
1586,875,1,1,2,1,1,1,1
1587,543,1,2,1,1,1,1,1
1588,1382,1,1,2,1,1,1,1
1589,455,1,1,2,1,1,1,1
1590,1268,1,2,1,1,1,1,1
1591,2078,1,2,1,1,1,1,1
1592,1023,1,2,1,1,1,1,1
1593,1356,1,2,1,1,1,1,1
1594,1160,1,2,1,1,1,1,1
1595,8138,1,2,1,1,1,1,1
1596,4106,1,2,1,1,1,1,1
1597,2914,1,2,1,1,1,1,1
1598,426,1,2,1,1,1,1,1
1599,2563,1,2,1,1,1,1,1
1600,13395,1,2,1,1,1,1,1
1601,4355,1,2,1,1,1,1,1
1602,767,1,2,1,1,1,1,1
1603,1399,1,2,1,1,1,1,1
1604,4819,1,1,2,1,1,1,1
1605,3559,1,1,2,1,1,1,1
1606,728,1,2,1,1,1,1,1
1607,3008,1,1,2,1,1,2,2
1608,1400,1,1,2,1,1,1,1
1609,1240,1,2,1,1,1,1,1
1610,1493,1,2,1,1,1,1,1
1611,1359,1,1,2,1,1,1,1
1612,6886,1,1,2,1,1,1,1
1613,6654,1,1,2,1,1,1,1
1614,3337,1,2,1,1,1,2,1
1615,1972,1,2,1,1,1,1,1
1616,4278,1,2,1,1,1,1,1
1617,6279,1,2,1,1,1,2,1
1618,1940,1,2,1,1,1,1,1
1619,1639,1,2,1,1,1,1,1
1620,1002,1,1,2,1,1,1,1
1621,1827,1,2,1,1,1,1,1
1622,2882,1,2,1,1,1,1,2
1623,5257,1,2,1,1,1,2,2
1624,5140,1,2,1,1,1,2,2
1625,3464,1,2,1,1,2,1,2
1626,2056,1,2,1,1,1,1,1
1627,1101,1,2,1,1,1,1,1
1628,875,1,2,1,1,1,1,1
1629,8044,1,2,1,1,1,1,1
1630,1446,1,2,1,1,1,1,1
1631,1438,1,2,1,1,1,2,1
1632,886,1,2,1,1,1,2,1
1633,5289,1,2,1,1,1,2,1
1634,6845,1,2,1,2,1,1,1
1635,3151,1,2,1,1,1,2,1
1636,7464,1,2,1,2,1,1,2
1637,4893,1,1,2,2,1,1,2
1638,754,1,2,1,1,1,1,1
1639,929,1,1,2,1,1,1,1
1640,718,1,2,1,1,1,1,1
1641,4542,1,2,1,1,1,1,1
1642,4427,1,2,1,2,1,1,1
1643,1840,1,2,1,1,1,1,1
1644,821,1,2,1,1,1,1,1
1645,1212,1,1,2,1,1,1,1
1646,639,1,2,1,1,1,1,1
1647,605,1,2,1,1,1,1,1
1648,759,1,1,2,1,1,1,1
1649,5664,1,2,1,1,1,1,1
1650,4254,1,2,1,1,1,1,1
1651,805,1,2,1,1,1,1,1
1652,1700,1,1,2,1,1,1,1
1653,1866,1,2,1,1,1,1,1
1654,1471,1,2,1,1,1,1,1
1655,3638,1,2,1,1,1,1,1
1656,981,1,2,1,1,1,1,1
1657,2712,1,1,2,1,1,2,2
1658,1211,1,2,1,1,1,1,1
1659,3267,1,2,1,1,1,1,1
1660,2424,1,2,1,1,1,1,1
1661,2391,1,1,2,1,1,1,2
1662,3196,1,2,1,1,1,1,1
1663,595,1,1,2,1,1,1,1
1664,841,1,2,1,1,1,1,1
1665,1457,1,2,1,1,1,1,1
1666,1437,1,2,1,1,1,1,1
1667,3392,1,2,1,1,1,1,1
1668,568,1,2,1,1,1,1,1
1669,1817,1,2,1,1,1,1,1
1670,2822,1,1,2,1,1,1,1
1671,3570,1,1,2,1,1,1,1
1672,4950,1,1,2,1,1,1,1
1673,487,1,1,2,1,1,2,1
1674,2045,1,2,1,1,1,1,1
1675,2875,1,2,1,1,1,1,1
1676,506,1,2,1,1,1,1,1
1677,846,1,2,1,1,1,1,1
1678,2029,1,2,1,1,1,1,1
1679,1156,1,2,1,1,1,1,1
1680,1640,1,2,1,1,1,1,1
1681,1689,1,2,1,1,1,1,1
1682,3088,1,2,1,1,1,1,1
1683,471,1,2,1,1,1,1,1
1684,869,1,2,1,1,1,1,1
1685,1623,1,2,1,1,1,1,1
1686,3468,1,2,1,1,1,1,1
1687,1326,1,2,1,1,1,1,1
1688,1395,1,2,1,1,1,1,1
1689,1456,1,2,1,1,1,1,2
1690,1254,1,2,1,1,1,1,1
1691,792,1,2,1,2,1,1,1
1692,1709,1,2,1,1,1,1,2
1693,5645,1,2,1,1,1,1,1
1694,3437,1,2,1,1,1,1,1
1695,802,1,2,1,1,1,1,1
1697,371,1,1,2,1,1,1,1
1698,1030,1,1,2,1,1,1,1
1699,1369,1,2,1,1,1,1,1
1700,967,1,2,1,1,1,1,1
1701,1680,1,2,1,2,1,1,1
1702,1100,1,1,2,1,1,1,2
1703,3110,1,1,2,1,1,1,1
1704,1189,1,1,2,1,1,1,1
1705,2146,1,1,2,1,1,1,1
1706,1684,1,2,1,1,1,1,1
1707,1920,1,2,1,1,1,1,1
1708,2178,1,2,1,1,1,1,1
1709,3468,1,2,1,1,1,1,1
1710,1801,1,2,1,1,1,1,1
1711,3573,1,2,1,1,1,1,1
1712,1603,1,1,2,1,1,1,1
1713,2565,1,2,1,1,1,1,1
1714,1739,1,1,2,1,1,1,1
1715,664,1,1,2,1,1,1,1
1716,479,1,1,2,1,1,1,1
1717,699,1,1,2,1,1,1,1
1718,1142,1,2,1,1,1,1,1
1719,723,1,2,1,1,1,1,1
1720,1749,1,2,1,1,1,1,1
1721,901,1,2,1,1,1,1,1
1722,1580,1,1,2,1,1,2,2
1723,992,1,1,2,1,1,2,2
1724,950,1,2,1,2,1,1,1
1725,4323,1,2,1,1,1,1,1
1726,2162,1,2,1,1,1,1,1
1727,4906,1,2,1,2,1,1,1
1728,5227,1,2,1,1,1,1,1
1729,4674,1,2,1,2,1,1,1
1730,396,1,2,1,2,1,1,1
1731,2433,1,1,2,1,1,1,1
1732,3050,1,1,2,1,1,1,1
1733,5061,1,2,1,2,1,1,1
1734,1993,1,2,1,1,1,1,1
1735,1840,1,2,1,1,1,1,1
1736,2480,1,1,2,1,1,1,1
1737,2468,1,2,1,1,1,1,1
1738,1028,1,2,1,1,1,1,1
1739,1084,1,1,2,1,1,2,1
1740,1644,1,2,1,1,1,1,1
1741,1785,1,2,1,1,1,1,1
1742,3019,1,2,1,1,1,1,1
1743,4067,1,1,2,1,1,1,1
1744,345,1,2,1,2,1,1,1
1745,1133,1,1,2,1,1,1,1
1746,500,1,2,1,2,1,1,1
1747,4902,1,1,2,1,1,1,1
1748,959,1,2,1,1,1,1,1
1749,797,1,2,1,1,1,1,1
1750,1413,1,2,1,1,1,1,1
1751,1602,1,1,2,1,1,1,1
1752,2433,1,1,2,1,1,1,1
1753,584,1,2,1,1,1,1,1
1754,2729,1,2,1,1,1,1,1
1755,442,1,2,1,1,1,1,1
1756,3540,1,2,1,1,1,1,1
1757,1313,1,1,2,1,1,1,1
1758,4914,1,1,2,1,1,1,1
1759,1685,1,2,1,1,1,1,1
1760,6427,1,2,1,1,1,1,1
1761,998,1,2,1,1,1,1,1
1762,1301,1,2,1,1,1,1,1
1763,353,1,2,1,1,1,1,1
1764,750,1,2,1,1,1,1,1
1765,2312,1,2,1,1,1,1,1
1766,2194,1,2,1,1,1,1,1
1767,4679,1,1,2,1,1,1,1
1768,7081,1,2,1,1,1,1,1
1769,1154,1,2,1,1,1,1,1
1770,3202,1,2,1,1,1,1,1
1771,1155,1,2,1,1,1,1,1
1772,959,1,2,1,1,1,1,1
1773,596,1,2,1,1,1,1,1
1774,1459,1,2,1,1,1,1,1
1775,506,1,1,2,1,1,1,1
1776,1771,1,2,1,2,1,1,1
1777,4116,1,2,1,2,1,1,1
1778,1399,1,2,1,1,1,1,1
1779,791,1,1,2,1,1,1,2
1780,550,1,1,2,1,1,1,1
1781,476,1,1,2,1,1,1,1
1782,521,1,2,1,1,1,1,1
1783,2526,1,2,1,1,1,1,1
1784,376,1,2,1,1,1,1,1
1785,1201,1,2,1,1,1,1,1
1786,691,1,2,1,1,1,1,1
1787,967,1,1,2,1,1,1,1
1788,2994,1,1,2,1,1,1,1
1789,798,1,1,2,1,1,1,1
1790,2950,1,1,2,1,1,1,1
1791,919,1,1,2,1,1,1,2
1792,1703,1,1,2,1,1,1,1
1793,1068,1,1,2,1,1,1,1
1794,1535,1,1,2,1,1,1,1
1795,1708,1,2,1,1,1,1,1
1796,1044,1,1,2,1,1,1,1
1797,776,1,1,2,1,1,1,1
1798,1169,1,2,1,1,1,1,1
1799,2268,1,2,1,1,1,1,1
1800,1543,1,2,1,1,1,1,1
1802,406,1,1,2,1,1,1,1
1803,506,1,2,1,1,1,2,1
1804,1348,2,1,2,1,1,1,2
1805,636,1,2,1,2,1,1,1
1806,707,1,1,2,1,1,1,1
1807,1530,1,1,2,1,1,1,1
1808,1435,1,2,1,1,1,1,1
1809,1617,1,2,1,1,1,1,1
1810,2317,1,2,1,1,1,1,1
1811,3833,1,2,1,1,1,1,1
1812,1157,1,1,2,1,1,1,1
1813,1491,1,1,2,1,1,1,1
1814,391,1,2,1,1,1,1,1
1815,1295,1,1,2,1,1,1,1
1816,1539,1,2,1,1,1,1,2
1817,800,1,2,1,1,1,1,2
1818,978,1,2,1,1,1,1,1
1819,977,1,1,2,1,1,1,1
1820,1776,1,1,2,1,1,1,1
1821,1250,1,1,2,1,1,1,1
1822,2877,1,2,1,1,1,1,1
1823,1827,1,2,1,1,1,1,1
1824,1359,1,2,1,1,1,1,1
1825,525,1,2,1,2,1,1,1
1826,2293,1,2,1,1,1,1,1
1827,678,1,1,2,1,1,1,1
1828,1359,1,2,1,1,1,1,1
1829,1470,1,2,1,1,1,1,1
1830,2641,1,2,1,1,1,1,1
1831,618,1,1,2,1,1,1,1
1832,592,1,2,1,1,1,1,1
1833,4758,1,2,1,1,1,1,1
1834,762,1,2,1,1,1,1,1
1835,1036,1,2,1,1,1,1,1
1836,1045,1,2,1,2,1,1,1
1837,994,1,1,2,1,1,1,1
1838,1453,1,1,2,1,1,1,1
1839,1618,1,2,1,1,1,1,1
1840,2466,1,2,1,1,1,1,1
1841,2161,1,2,1,1,1,1,1
1842,3236,1,2,1,1,1,1,1
1843,1397,1,1,2,1,1,1,1
1844,1287,1,2,1,1,1,1,1
1845,2821,1,2,1,1,1,1,1
1846,1147,1,2,1,1,1,1,1
1847,826,1,2,1,1,1,1,1
1848,2603,1,2,1,1,1,1,1
1849,906,1,1,2,1,1,1,1
1850,766,1,2,1,1,1,1,1
1851,928,1,2,1,1,1,1,2
1852,1489,1,2,1,1,1,1,1
1853,717,1,2,1,1,1,1,1
1854,1139,1,2,1,1,1,1,1
1855,3613,1,2,1,1,1,1,1
1856,1602,1,2,1,1,1,1,1
1857,1385,1,2,1,1,1,1,1
1858,1334,1,2,1,1,1,1,1
1859,981,1,1,2,1,1,2,2
1860,872,1,1,2,1,1,1,1
1861,478,1,1,2,1,1,1,1
1862,488,1,1,2,2,1,1,2
1863,1167,1,1,2,1,1,1,1
1864,3841,1,1,2,1,1,1,1
1865,844,1,1,2,1,1,1,1
1866,2293,1,2,1,1,1,1,1
1867,6056,1,2,1,1,1,1,1
1868,1014,1,2,1,1,1,1,1
1869,2257,1,2,1,1,1,1,1
1870,781,1,2,1,1,1,1,1
1871,706,1,2,1,1,1,1,1
1872,791,1,2,1,1,1,1,1
1873,675,1,1,2,1,1,1,1
1874,994,1,2,1,2,1,1,1
1875,2715,1,1,2,1,1,1,1
1876,613,1,2,1,1,1,1,1
1877,4164,1,2,1,1,1,1,1
1878,7705,1,1,2,1,1,1,1
1879,1523,1,1,2,1,1,1,1
1880,762,1,1,2,1,1,1,1
1881,588,1,1,2,1,1,1,1
1882,3290,1,1,2,1,1,1,1
1884,4757,1,2,1,2,1,1,1
1885,1062,1,2,1,1,1,1,1
1886,2747,1,2,1,1,1,1,1
1887,1067,1,2,1,1,1,1,1
1888,618,1,2,1,1,1,1,1
1889,1417,1,1,2,1,1,2,2
1890,1311,1,1,2,1,1,1,1
1891,1546,1,1,2,1,1,1,1
1892,786,1,2,1,1,1,1,1
1893,1842,1,1,2,1,1,1,2
1894,712,1,2,1,1,1,1,1
1895,524,1,1,2,1,1,1,1
1896,869,1,2,1,1,1,1,1
1897,919,1,2,1,1,1,1,1
1898,448,1,1,2,1,1,1,2
1899,636,1,1,2,1,1,1,1
1900,1492,1,2,1,1,1,1,1
1901,345,1,2,1,1,1,1,1
1902,1355,1,2,1,1,1,1,1
1903,3635,1,2,1,1,1,1,1
1904,1678,1,2,1,1,1,1,1
1905,4509,1,2,1,1,1,1,1
1906,1509,1,2,1,1,1,1,1
1907,996,1,2,1,1,1,1,1
1908,2024,1,2,1,1,1,1,1
1909,2347,1,2,1,1,1,1,1
1910,544,1,2,1,1,1,1,1
1911,1716,1,2,1,1,1,1,1
1912,1982,1,1,2,1,1,1,1
1913,2621,1,1,2,1,1,1,1
1914,2261,1,1,2,1,1,1,1
1915,4066,1,1,2,1,1,1,1
1916,2689,1,2,1,1,1,1,1
1917,1578,1,2,1,1,1,1,1
1918,1118,1,2,1,1,1,1,1
1919,1215,1,2,1,1,1,1,1
1920,655,1,2,1,1,1,1,1
1921,1927,1,2,1,1,1,1,1
1922,578,1,2,1,1,1,1,1
1923,1207,1,1,2,1,1,1,1
1924,3188,1,1,2,1,1,1,1
1925,1034,1,2,1,1,1,1,1
1926,635,1,1,2,1,1,1,1
1927,938,1,1,2,1,1,1,1
1928,685,1,1,2,1,1,1,1
1929,1321,1,2,1,1,1,2,1
1930,10304,1,2,1,1,1,1,1
1931,458,1,2,1,1,1,2,1
1932,6384,1,2,1,1,1,1,1
1933,1443,1,1,2,1,1,1,1
1934,878,1,2,1,2,1,1,1
1935,725,1,2,1,1,1,1,1
1936,1815,1,2,1,1,1,1,1
1937,523,1,2,1,1,1,1,1
1938,1540,1,2,1,1,1,1,1
1939,2829,1,2,1,1,1,1,1
1940,2781,1,2,1,1,1,1,1
1941,1939,1,1,2,1,1,1,1
1942,919,1,2,1,1,1,1,1
1943,603,1,2,1,1,1,1,1
1944,1783,1,2,1,1,1,1,1
1945,2808,1,2,1,1,1,1,1
1946,1692,1,2,1,1,1,1,1
1947,1328,1,2,1,1,1,1,1
1948,949,1,2,1,1,1,1,1
1949,487,1,2,1,2,1,1,1
1950,3684,1,2,1,1,1,1,1
1951,319,1,1,2,1,1,1,1
1952,1717,1,2,1,1,1,1,1
1953,394,1,2,1,1,1,1,1
1954,1975,1,1,2,1,1,1,1
1955,594,1,1,2,1,1,1,1
1956,6553,1,2,1,1,1,1,1
1957,3095,1,2,1,1,1,1,1
1958,740,1,2,1,1,1,1,1
1959,615,1,1,2,1,1,1,1
1960,2616,1,2,1,1,1,1,1
8888,2612191,1,1,1,1,1,1,1
9999,342940,1,1,1,1,1,1,1
