pre,post_1,post_2,start,end,,
3022202,3022203,-1,11,20,,
3022203,3022204,-1,21,40,,
3022204,3022205,-1,41,60,,
3022205,3022206,-1,61,100,,
3022206,-1,-1,101,999999999,,
3022301,3022302,-1,0,10,,
3022302,3022303,-1,11,20,,
3022303,3022304,-1,21,40,,
3022304,3022305,-1,41,60,,
3022305,3022306,-1,61,100,,
3022306,-1,-1,101,999999999,,
3022401,3022402,-1,0,10,,
3022402,3022403,-1,11,20,,
3022403,3022404,-1,21,40,,
3022404,3022405,-1,41,60,,
3022405,3022406,-1,61,100,,
3022406,-1,-1,101,999999999,,
3023101,3023102,-1,0,10,,
3023102,3023103,-1,11,20,,
3023103,3023104,-1,21,40,,
3023104,3023105,-1,41,60,,
3023105,3023106,-1,61,100,,
3023106,-1,-1,101,999999999,,
3023201,3023202,-1,0,10,,
3023202,3023203,-1,11,20,,
3023203,3023204,-1,21,40,,
3023204,3023205,-1,41,60,,
3023205,3023206,-1,61,100,,
3023206,-1,-1,101,999999999,,
3023301,3023302,-1,0,10,,
3023302,3023303,-1,11,20,,
3023303,3023304,-1,21,40,,
3023304,3023305,-1,41,60,,
3023305,3023306,-1,61,100,,
3023306,-1,-1,101,999999999,,
3023401,3023402,-1,0,10,,
3023402,3023403,-1,11,20,,
3023403,3023404,-1,21,40,,
3023404,3023405,-1,41,60,,
3023405,3023406,-1,61,100,,
3023406,-1,-1,101,999999999,,
3024101,3024102,-1,0,10,,
3024102,3024103,-1,11,20,,
3024103,3024104,-1,21,40,,
3024104,3024105,-1,41,60,,
3024105,3024106,-1,61,100,,
3024106,-1,-1,101,999999999,,
3024201,3024202,-1,0,10,,
3024202,3024203,-1,11,20,,
3024203,3024204,-1,21,40,,
3024204,3024205,-1,41,60,,
3024205,3024206,-1,61,100,,
3024206,-1,-1,101,999999999,,
3024301,3024302,-1,0,10,,
3024302,3024303,-1,11,20,,
3024303,3024304,-1,21,40,,
3024304,3024305,-1,41,60,,
3024305,3024306,-1,61,100,,
3024306,-1,-1,101,999999999,,
3024401,3024402,-1,0,10,,
3024402,3024403,-1,11,20,,
3024403,3024404,-1,21,40,,
3024404,3024405,-1,41,60,,
3024405,3024406,-1,61,100,,
3024406,-1,-1,101,999999999,,
3031401,3031402,-1,0,10,,
3031402,3031403,-1,11,20,,
3031403,3031404,-1,21,40,,
3031404,3031405,-1,41,60,,
3031405,3031406,-1,61,100,,
3031406,-1,-1,101,999999999,,
3032101,3032102,-1,0,10,,
3032102,3032103,-1,11,20,,
3032103,3032104,-1,21,40,,
3032104,3032105,-1,41,60,,
3032105,3032106,-1,61,100,,
3032106,-1,-1,101,999999999,,
3032201,3032202,-1,0,10,,
3032202,3032203,-1,11,20,,
3032203,3032204,-1,21,40,,
3032204,3032205,-1,41,60,,
3032205,3032206,-1,61,100,,
3032206,-1,-1,101,999999999,,
3032301,3032302,-1,0,10,,
3032302,3032303,-1,11,20,,
3032303,3032304,-1,21,40,,
3032304,3032305,-1,41,60,,
3032305,3032306,-1,61,100,,
3032306,-1,-1,101,999999999,,
3032401,3032402,-1,0,10,,
3032402,3032403,-1,11,20,,
3032403,3032404,-1,21,40,,
3032404,3032405,-1,41,60,,
3032405,3032406,-1,61,100,,
3032406,-1,-1,101,999999999,,
3033101,3033102,-1,0,10,,
3033102,3033103,-1,11,20,,
3033103,3033104,-1,21,40,,
3033104,3033105,-1,41,60,,
3033105,3033106,-1,61,100,,
3033106,-1,-1,101,999999999,,
3033201,3033202,-1,0,10,,
3033202,3033203,-1,11,20,,
3033203,3033204,-1,21,40,,
3033204,3033205,-1,41,60,,
3033205,3033206,-1,61,100,,
3033206,-1,-1,101,999999999,,
3033301,3033302,-1,0,10,,
3033302,3033303,-1,11,20,,
3033303,3033304,-1,21,40,,
3033304,3033305,-1,41,60,,
3033305,3033306,-1,61,100,,
3033306,-1,-1,101,999999999,,
3033401,3033402,-1,0,10,,
3033402,3033403,-1,11,20,,
3033403,3033404,-1,21,40,,
3033404,3033405,-1,41,60,,
3033405,3033406,-1,61,100,,
3033406,-1,-1,101,999999999,,
3034101,3034102,-1,0,10,,
3034102,3034103,-1,11,20,,
3034103,3034104,-1,21,40,,
3034104,3034105,-1,41,60,,
3034105,3034106,-1,61,100,,
3034106,-1,-1,101,999999999,,
3034201,3034202,-1,0,10,,
3034202,3034203,-1,11,20,,
3034203,3034204,-1,21,40,,
3034204,3034205,-1,41,60,,
3034205,3034206,-1,61,100,,
3034206,-1,-1,101,999999999,,
3034301,3034302,-1,0,10,,
3034302,3034303,-1,11,20,,
3034303,3034304,-1,21,40,,
3034304,3034305,-1,41,60,,
3034305,3034306,-1,61,100,,
3034306,-1,-1,101,999999999,,
3034401,3034402,-1,0,10,,
3034402,3034403,-1,11,20,,
3034403,3034404,-1,21,40,,
3034404,3034405,-1,41,60,,
3034405,3034406,-1,61,100,,
3034406,-1,-1,101,999999999,,
3041401,3041402,-1,0,10,,
3041402,3041403,-1,11,20,,
3041403,3041404,-1,21,40,,
3041404,3041405,-1,41,60,,
3041405,3041406,-1,61,100,,
3041406,-1,-1,101,999999999,,
3042101,3042102,-1,0,10,,
3042102,3042103,-1,11,20,,
3042103,3042104,-1,21,40,,
3042104,3042105,-1,41,60,,
3042105,3042106,-1,61,100,,
3042106,-1,-1,101,999999999,,
3042201,3042202,-1,0,10,,
3042202,3042203,-1,11,20,,
3042203,3042204,-1,21,40,,
3042204,3042205,-1,41,60,,
3042205,3042206,-1,61,100,,
3042206,-1,-1,101,999999999,,
3042301,3042302,-1,0,10,,
3042302,3042303,-1,11,20,,
3042303,3042304,-1,21,40,,
3042304,3042305,-1,41,60,,
3042305,3042306,-1,61,100,,
3042306,-1,-1,101,999999999,,
3042401,3042402,-1,0,10,,
3042402,3042403,-1,11,20,,
3042403,3042404,-1,21,40,,
3042404,3042405,-1,41,60,,
3042405,3042406,-1,61,100,,
3042406,-1,-1,101,999999999,,
3043101,3043102,-1,0,10,,
3043102,3043103,-1,11,20,,
3043103,3043104,-1,21,40,,
3043104,3043105,-1,41,60,,
3043105,3043106,-1,61,100,,
3043106,-1,-1,101,999999999,,
3043201,3043202,-1,0,10,,
3043202,3043203,-1,11,20,,
3043203,3043204,-1,21,40,,
3043204,3043205,-1,41,60,,
3043205,3043206,-1,61,100,,
3043206,-1,-1,101,999999999,,
3043301,3043302,-1,0,10,,
3043302,3043303,-1,11,20,,
3043303,3043304,-1,21,40,,
3043304,3043305,-1,41,60,,
3043305,3043306,-1,61,100,,
3043306,-1,-1,101,999999999,,
3043401,3043402,-1,0,10,,
3043402,3043403,-1,11,20,,
3043403,3043404,-1,21,40,,
3043404,3043405,-1,41,60,,
3043405,3043406,-1,61,100,,
3043406,-1,-1,101,999999999,,
3044101,3044102,-1,0,10,,
3044102,3044103,-1,11,20,,
3044103,3044104,-1,21,40,,
3044104,3044105,-1,41,60,,
3044105,3044106,-1,61,100,,
3044106,-1,-1,101,999999999,,
3044201,3044202,-1,0,10,,
3044202,3044203,-1,11,20,,
3044203,3044204,-1,21,40,,
3044204,3044205,-1,41,60,,
3044205,3044206,-1,61,100,,
3044206,-1,-1,101,999999999,,
3044301,3044302,-1,0,10,,
3044302,3044303,-1,11,20,,
3044303,3044304,-1,21,40,,
3044304,3044305,-1,41,60,,
3044305,3044306,-1,61,100,,
3044306,-1,-1,101,999999999,,
3044401,3044402,-1,0,10,,
3044402,3044403,-1,11,20,,
3044403,3044404,-1,21,40,,
3044404,3044405,-1,41,60,,
3044405,3044406,-1,61,100,,
3044406,-1,-1,101,999999999,,
3045401,3045402,-1,0,10,,
3045402,3045403,-1,11,20,,
3045403,3045404,-1,21,40,,
3045404,3041405,-1,41,60,,
3046101,3046102,-1,0,10,,
3046102,3011103,-1,11,20,,
3046103,3046104,-1,21,40,,
3046104,3011105,-1,41,60,,
3046201,3046202,-1,0,10,,
3046202,3011203,-1,11,20,,
3046203,3046204,-1,21,40,,
3046204,3011205,-1,41,60,,
3046301,3046302,-1,0,10,,
3046302,3046303,-1,11,20,,
3046303,3046304,-1,21,40,,
3046304,3011305,-1,41,60,,
3046401,3046402,-1,0,10,,
3046402,3046403,-1,11,20,,
3046403,3046404,-1,21,40,,
3046404,3041405,-1,41,60,,
3047101,3047102,-1,0,10,,
3047102,3011103,-1,11,20,,
3047103,3047104,-1,21,40,,
3047104,3011105,-1,41,60,,
3047201,3047202,-1,0,10,,
3047202,3011203,-1,11,20,,
3047203,3047204,-1,21,40,,
3047204,3011205,-1,41,60,,
3047301,3047302,-1,0,10,,
3047302,3047303,-1,11,20,,
3047303,3047304,-1,21,40,,
3047304,3011305,-1,41,60,,
3047401,3047402,-1,0,10,,
3047402,3047403,-1,11,20,,
3047403,3047404,-1,21,40,,
3047404,3041405,-1,41,60,,
3048101,3048102,-1,0,10,,
3048102,3011103,-1,11,20,,
3048103,3048104,-1,21,40,,
3048104,3011105,-1,41,60,,
3048201,3048202,-1,0,10,,
3048202,3011203,-1,11,20,,
3048203,3048204,-1,21,40,,
3048204,3011205,-1,41,60,,
3048301,3048302,-1,0,10,,
3048302,3048303,-1,11,20,,
3048303,3048304,-1,21,40,,
3048304,3011305,-1,41,60,,
3048401,3048402,-1,0,10,,
3048402,3048403,-1,11,20,,
3048403,3048404,-1,21,40,,
3048404,3041405,-1,41,60,,
4011101,4011102,-1,0,10,,
4011102,4011103,-1,11,20,,
4011103,4011104,-1,21,40,,
4011104,4011105,-1,41,60,,
4011105,4011106,-1,61,100,,
4011106,-1,-1,101,999999999,,
4011201,4011202,-1,0,10,,
4011202,4011203,-1,11,20,,
4011203,4011204,-1,21,40,,
4011204,4011205,-1,41,60,,
4011205,4011206,-1,61,100,,
4011206,-1,-1,101,999999999,,
4011301,4011302,-1,0,10,,
4011302,4011303,-1,11,20,,
4011303,4011304,-1,21,40,,
4011304,4011305,-1,41,60,,
4011305,4011306,-1,61,100,,
4011306,-1,-1,101,999999999,,
4012101,4012102,-1,0,10,,
4012102,4012103,-1,11,20,,
4012103,4012104,-1,21,40,,
4012104,4012105,-1,41,60,,
4012105,4012106,-1,61,100,,
4012106,-1,-1,101,999999999,,
4012201,4012202,-1,0,10,,
4012202,4012203,-1,11,20,,
4012203,4012204,-1,21,40,,
4012204,4012205,-1,41,60,,
4012205,4012206,-1,61,100,,
4012206,-1,-1,101,999999999,,
4012301,4012302,-1,0,10,,
4012302,4012303,-1,11,20,,
4012303,4012304,-1,21,40,,
4012304,4012305,-1,41,60,,
4012305,4012306,-1,61,100,,
4012306,-1,-1,101,999999999,,
4012401,4012402,-1,0,10,,
4012402,4012403,-1,11,20,,
4012403,4012404,-1,21,40,,
4012404,4012405,-1,41,60,,
4012405,4012406,-1,61,100,,
4012406,-1,-1,101,999999999,,
4013101,4013102,-1,0,10,,
4013102,4013103,-1,11,20,,
4013103,4013104,-1,21,40,,
4013104,4013105,-1,41,60,,
4013105,4013106,-1,61,100,,
4013106,-1,-1,101,999999999,,
4013201,4013202,-1,0,10,,
4013202,4013203,-1,11,20,,
4013203,4013204,-1,21,40,,
4013204,4013205,-1,41,60,,
4013205,4013206,-1,61,100,,
4013206,-1,-1,101,999999999,,
4013301,4013302,-1,0,10,,
4013302,4013303,-1,11,20,,
4013303,4013304,-1,21,40,,
4013304,4013305,-1,41,60,,
4013305,4013306,-1,61,100,,
4013306,-1,-1,101,999999999,,
4013401,4013402,-1,0,10,,
4013402,4013403,-1,11,20,,
4013403,4013404,-1,21,40,,
4013404,4013405,-1,41,60,,
4013405,4013406,-1,61,100,,
4013406,-1,-1,101,999999999,,
4014101,4014102,-1,0,10,,
4014102,4014103,-1,11,20,,
4014103,4014104,-1,21,40,,
4014104,4014105,-1,41,60,,
4014105,4014106,-1,61,100,,
4014106,-1,-1,101,999999999,,
4014201,4014202,-1,0,10,,
4014202,4014203,-1,11,20,,
4014203,4014204,-1,21,40,,
4014204,4014205,-1,41,60,,
4014205,4014206,-1,61,100,,
4014206,-1,-1,101,999999999,,
4014301,4014302,-1,0,10,,
4014302,4014303,-1,11,20,,
4014303,4014304,-1,21,40,,
4014304,4014305,-1,41,60,,
4014305,4014306,-1,61,100,,
4014306,-1,-1,101,999999999,,
4014401,4014402,-1,0,10,,
4014402,4014403,-1,11,20,,
4014403,4014404,-1,21,40,,
4014404,4014405,-1,41,60,,
4014405,4014406,-1,61,100,,
4014406,-1,-1,101,999999999,,
4015103,4015104,-1,21,40,,
4015104,4011105,-1,41,60,,
4015203,4015204,-1,21,40,,
4015204,4011205,-1,41,60,,
4015302,4015303,-1,11,20,,
4015303,4015304,-1,21,40,,
4015304,4011305,-1,41,60,,
4015401,4015402,-1,0,10,,
4015402,4015403,-1,11,20,,
4015403,4015404,-1,21,40,,
4015404,4021405,-1,41,60,,
4016101,4016102,-1,0,10,,
4016102,4011103,-1,11,20,,
4016103,4016104,-1,21,40,,
4016104,4011105,-1,41,60,,
4016201,4016402,-1,0,10,,
4016202,4016202,-1,11,20,,
4016203,4016203,-1,21,40,,
4016204,4011205,-1,41,60,,
4016301,4016302,-1,0,10,,
4016302,4016303,-1,11,20,,
4016303,4016304,-1,21,40,,
4016304,4011305,-1,41,60,,
4016401,4016402,-1,0,10,,
4016402,4016403,-1,11,20,,
4016403,4016404,-1,21,40,,
4016404,4021405,-1,41,60,,
4017101,4017101,-1,0,10,,
4017102,4017102,-1,11,20,,
4017103,4017104,-1,21,40,,
4017104,4011105,-1,41,60,,
4017201,4017202,-1,0,10,,
4017202,4011203,-1,11,20,,
4017203,4017204,-1,21,40,,
4017204,4011205,-1,41,60,,
4017301,4017302,-1,0,10,,
4017302,4017303,-1,11,20,,
4017303,4017304,-1,21,40,,
4017304,4011305,-1,41,60,,
4017401,4017402,-1,0,10,,
4017402,4017403,-1,11,20,,
4017403,4017404,-1,21,40,,
4017404,4021405,-1,41,60,,
4018101,4018101,-1,0,10,,
4018102,4018102,-1,11,20,,
4018103,4018104,-1,21,40,,
4018104,4011105,-1,41,60,,
4018201,4018202,-1,0,10,,
4018202,4011203,-1,11,20,,
4018203,4018204,-1,21,40,,
4018204,4011205,-1,41,60,,
4018301,4018302,-1,0,10,,
4018302,4018303,-1,11,20,,
4018303,4018304,-1,21,40,,
4018304,4011305,-1,41,60,,
4018401,4018402,-1,0,10,,
4018402,4018403,-1,11,20,,
4018403,4018404,-1,21,40,,
4018404,4021405,-1,41,60,,
4021401,4021402,-1,0,10,,
4021402,4021403,-1,11,20,,
4021403,4021404,-1,21,40,,
4021404,4021405,-1,41,60,,
4021405,4021406,-1,61,100,,
4021406,-1,-1,101,999999999,,
4022101,4022102,-1,0,10,,
4022102,4022103,-1,11,20,,
4022103,4022104,-1,21,40,,
4022104,4022105,-1,41,60,,
4022105,4022106,-1,61,100,,
4022106,-1,-1,101,999999999,,
4022201,4022202,-1,0,10,,
4022202,4022203,-1,11,20,,
4022203,4022204,-1,21,40,,
4022204,4022205,-1,41,60,,
4022205,4022206,-1,61,100,,
4022206,-1,-1,101,999999999,,
4022301,4022302,-1,0,10,,
4022302,4022303,-1,11,20,,
4022303,4022304,-1,21,40,,
4022304,4022305,-1,41,60,,
4022305,4022306,-1,61,100,,
4022306,-1,-1,101,999999999,,
4022401,4022402,-1,0,10,,
4022402,4022403,-1,11,20,,
4022403,4022404,-1,21,40,,
4022404,4022405,-1,41,60,,
4022405,4022406,-1,61,100,,
4022406,-1,-1,101,999999999,,
4023101,4023102,-1,0,10,,
4023102,4023103,-1,11,20,,
4023103,4023104,-1,21,40,,
4023104,4023105,-1,41,60,,
4023105,4023106,-1,61,100,,
4023106,-1,-1,101,999999999,,
4023201,4023202,-1,0,10,,
4023202,4023203,-1,11,20,,
4023203,4023204,-1,21,40,,
4023204,4023205,-1,41,60,,
4023205,4023206,-1,61,100,,
4023206,-1,-1,101,999999999,,
4023301,4023302,-1,0,10,,
4023302,4023303,-1,11,20,,
4023303,4023304,-1,21,40,,
4023304,4023305,-1,41,60,,
4023305,4023306,-1,61,100,,
4023306,-1,-1,101,999999999,,
4023401,4023402,-1,0,10,,
4023402,4023403,-1,11,20,,
4023403,4023404,-1,21,40,,
4023404,4023405,-1,41,60,,
4023405,4023406,-1,61,100,,
4023406,-1,-1,101,999999999,,
4024101,4024102,-1,0,10,,
4024102,4024103,-1,11,20,,
4024103,4024104,-1,21,40,,
4024104,4024105,-1,41,60,,
4024105,4024106,-1,61,100,,
4024106,-1,-1,101,999999999,,
4024201,4024202,-1,0,10,,
4024202,4024203,-1,11,20,,
4024203,4024204,-1,21,40,,
4024204,4024205,-1,41,60,,
4024205,4024206,-1,61,100,,
4024206,-1,-1,101,999999999,,
4024301,4024302,-1,0,10,,
4024302,4024303,-1,11,20,,
4024303,4024304,-1,21,40,,
4024304,4024305,-1,41,60,,
4024305,4024306,-1,61,100,,
4024306,-1,-1,101,999999999,,
4024401,4024402,-1,0,10,,
4024402,4024403,-1,11,20,,
4024403,4024404,-1,21,40,,
4024404,4024405,-1,41,60,,
4024405,4024406,-1,61,100,,
4024406,-1,-1,101,999999999,,
4031401,4031402,-1,0,10,,
4031402,4031403,-1,11,20,,
4031403,4031404,-1,21,40,,
4031404,4031405,-1,41,60,,
4031405,4031406,-1,61,100,,
4031406,-1,-1,101,999999999,,
4032101,4032102,-1,0,10,,
4032102,4032103,-1,11,20,,
4032103,4032104,-1,21,40,,
4032104,4032105,-1,41,60,,
4032105,4032106,-1,61,100,,
4032106,-1,-1,101,999999999,,
4032201,4032202,-1,0,10,,
4032202,4032203,-1,11,20,,
4032203,4032204,-1,21,40,,
4032204,4032205,-1,41,60,,
4032205,4032206,-1,61,100,,
4032206,-1,-1,101,999999999,,
4032301,4032302,-1,0,10,,
4032302,4032303,-1,11,20,,
4032303,4032304,-1,21,40,,
4032304,4032305,-1,41,60,,
4032305,4032306,-1,61,100,,
4032306,-1,-1,101,999999999,,
4032401,4032402,-1,0,10,,
4032402,4032403,-1,11,20,,
4032403,4032404,-1,21,40,,
4032404,4032405,-1,41,60,,
4032405,4032406,-1,61,100,,
4032406,-1,-1,101,999999999,,
4033101,4033102,-1,0,10,,
4033102,4033103,-1,11,20,,
4033103,4033104,-1,21,40,,
4033104,4033105,-1,41,60,,
4033105,4033106,-1,61,100,,
4033106,-1,-1,101,999999999,,
4033201,4033202,-1,0,10,,
4033202,4033203,-1,11,20,,
4033203,4033204,-1,21,40,,
4033204,4033205,-1,41,60,,
4033205,4033206,-1,61,100,,
4033206,-1,-1,101,999999999,,
4033301,4033302,-1,0,10,,
4033302,4033303,-1,11,20,,
4033303,4033304,-1,21,40,,
4033304,4033305,-1,41,60,,
4033305,4033306,-1,61,100,,
4033306,-1,-1,101,999999999,,
4033401,4033402,-1,0,10,,
4033402,4033403,-1,11,20,,
4033403,4033404,-1,21,40,,
4033404,4033405,-1,41,60,,
4033405,4033406,-1,61,100,,
4033406,-1,-1,101,999999999,,
4034101,4034102,-1,0,10,,
4034102,4034103,-1,11,20,,
4034103,4034104,-1,21,40,,
4034104,4034105,-1,41,60,,
4034105,4034106,-1,61,100,,
4034106,-1,-1,101,999999999,,
4034201,4034202,-1,0,10,,
4034202,4034203,-1,11,20,,
4034203,4034204,-1,21,40,,
4034204,4034205,-1,41,60,,
4034205,4034206,-1,61,100,,
4034206,-1,-1,101,999999999,,
4034301,4034302,-1,0,10,,
4034302,4034303,-1,11,20,,
4034303,4034304,-1,21,40,,
4034304,4034305,-1,41,60,,
4034305,4034306,-1,61,100,,
4034306,-1,-1,101,999999999,,
4034401,4034402,-1,0,10,,
4034402,4034403,-1,11,20,,
4034403,4034404,-1,21,40,,
4034404,4034405,-1,41,60,,
4034405,4034406,-1,61,100,,
4034406,-1,-1,101,999999999,,
4041401,4041402,-1,0,10,,
4041402,4041403,-1,11,20,,
4041403,4041404,-1,21,40,,
4041404,4041405,-1,41,60,,
4041405,4041406,-1,61,100,,
4041406,-1,-1,101,999999999,,
4042101,4042102,-1,0,10,,
4042102,4042103,-1,11,20,,
4042103,4042104,-1,21,40,,
4042104,4042105,-1,41,60,,
4042105,4042106,-1,61,100,,
4042106,-1,-1,101,999999999,,
4042201,4042202,-1,0,10,,
4042202,4042203,-1,11,20,,
4042203,4042204,-1,21,40,,
4042204,4042205,-1,41,60,,
4042205,4042206,-1,61,100,,
4042206,-1,-1,101,999999999,,
4042301,4042302,-1,0,10,,
4042302,4042303,-1,11,20,,
4042303,4042304,-1,21,40,,
4042304,4042305,-1,41,60,,
4042305,4042306,-1,61,100,,
4042306,-1,-1,101,999999999,,
4042401,4042402,-1,0,10,,
4042402,4042403,-1,11,20,,
4042403,4042404,-1,21,40,,
4042404,4042405,-1,41,60,,
4042405,4042406,-1,61,100,,
4042406,-1,-1,101,999999999,,
4043101,4043102,-1,0,10,,
4043102,4043103,-1,11,20,,
4043103,4043104,-1,21,40,,
4043104,4043105,-1,41,60,,
4043105,4043106,-1,61,100,,
4043106,-1,-1,101,999999999,,
4043201,4043202,-1,0,10,,
4043202,4043203,-1,11,20,,
4043203,4043204,-1,21,40,,
4043204,4043205,-1,41,60,,
4043205,4043206,-1,61,100,,
4043206,-1,-1,101,999999999,,
4043301,4043302,-1,0,10,,
4043302,4043303,-1,11,20,,
4043303,4043304,-1,21,40,,
4043304,4043305,-1,41,60,,
4043305,4043306,-1,61,100,,
4043306,-1,-1,101,999999999,,
4043401,4043402,-1,0,10,,
4043402,4043403,-1,11,20,,
4043403,4043404,-1,21,40,,
4043404,4043405,-1,41,60,,
4043405,4043406,-1,61,100,,
4043406,-1,-1,101,999999999,,
4044101,4044102,-1,0,10,,
4044102,4044103,-1,11,20,,
4044103,4044104,-1,21,40,,
4044104,4044105,-1,41,60,,
4044105,4044106,-1,61,100,,
4044106,-1,-1,101,999999999,,
4044201,4044202,-1,0,10,,
4044202,4044203,-1,11,20,,
4044203,4044204,-1,21,40,,
4044204,4044205,-1,41,60,,
4044205,4044206,-1,61,100,,
4044206,-1,-1,101,999999999,,
4044301,4044302,-1,0,10,,
4044302,4044303,-1,11,20,,
4044303,4044304,-1,21,40,,
4044304,4044305,-1,41,60,,
4044305,4044306,-1,61,100,,
4044306,-1,-1,101,999999999,,
4044401,4044402,-1,0,10,,
4044402,4044403,-1,11,20,,
4044403,4044404,-1,21,40,,
4044404,4044405,-1,41,60,,
4044405,4044406,-1,61,100,,
4044406,-1,-1,101,999999999,,
4045401,4045402,-1,0,10,,
4045402,4045403,-1,11,20,,
4045403,4045404,-1,21,40,,
4045404,4041405,-1,41,60,,
4046101,4046102,-1,0,10,,
4046102,4011103,-1,11,20,,
4046103,4046104,-1,21,40,,
4046104,4011105,-1,41,60,,
4046201,4046202,-1,0,10,,
4046202,4011203,-1,11,20,,
4046203,4046204,-1,21,40,,
4046204,4011205,-1,41,60,,
4046301,4046302,-1,0,10,,
4046302,4046303,-1,11,20,,
4046303,4046304,-1,21,40,,
4046304,4011305,-1,41,60,,
4046401,4046402,-1,0,10,,
4046402,4046403,-1,11,20,,
4046403,4046404,-1,21,40,,
4046404,4041405,-1,41,60,,
4047101,4047102,-1,0,10,,
4047102,4011103,-1,11,20,,
4047103,4047104,-1,21,40,,
4047104,4011105,-1,41,60,,
4047201,4047202,-1,0,10,,
4047202,4011203,-1,11,20,,
4047203,4047204,-1,21,40,,
4047204,4011205,-1,41,60,,
4047301,4047302,-1,0,10,,
4047302,4047303,-1,11,20,,
4047303,4047304,-1,21,40,,
4047304,4011305,-1,41,60,,
4047401,4047402,-1,0,10,,
4047402,4047403,-1,11,20,,
4047403,4047404,-1,21,40,,
4047404,4041405,-1,41,60,,
4048101,4048102,-1,0,10,,
4048102,4011103,-1,11,20,,
4048103,4048104,-1,21,40,,
4048104,4011105,-1,41,60,,
4048201,4048202,-1,0,10,,
4048202,4011203,-1,11,20,,
4048203,4048204,-1,21,40,,
4048204,4011205,-1,41,60,,
4048301,4048302,-1,0,10,,
4048302,4048303,-1,11,20,,
4048303,4048304,-1,21,40,,
4048304,4011305,-1,41,60,,
4048401,4048402,-1,0,10,,
4048402,4048403,-1,11,20,,
4048403,4048404,-1,21,40,,
4048404,4041405,-1,41,60,,
5079000,-1,-1,0,999999999,,
5089000,-1,-1,0,999999999,,
5099000,-1,-1,0,999999999,,
6000000,-1,-1,0,999999999,,
