fuelbed,spread_contrast
1011101,1
1011102,1
1011103,1
1011104,1
1011105,1
1011106,1
1011201,0.9
1011202,0.9
1011203,0.9
1011204,0.9
1011205,0.9
1011206,0.9
1011301,0.75
1011302,0.75
1011303,0.75
1011304,0.75
1011305,0.75
1011306,0.75
1012101,1
1012102,1
1012103,1
1012104,1
1012105,1
1012106,1
1012201,0.9
1012202,0.9
1012203,0.9
1012204,0.9
1012205,0.9
1012206,0.9
1012301,0.75
1012302,0.75
1012303,0.75
1012304,0.75
1012305,0.75
1012306,0.75
1012401,0.5
1012402,0.5
1012403,0.5
1012404,0.5
1012405,0.5
1012406,0.5
1013101,1
1013102,1
1013103,1
1013104,1
1013105,1
1013106,1
1013201,0.9
1013202,0.9
1013203,0.9
1013204,0.9
1013205,0.9
1013206,0.9
1013301,0.75
1013302,0.75
1013303,0.75
1013304,0.75
1013305,0.75
1013306,0.75
1013401,0.5
1013402,0.5
1013403,0.5
1013404,0.5
1013405,0.5
1013406,0.5
1014101,1
1014102,1
1014103,1
1014104,1
1014105,1
1014106,1
1014201,0.9
1014202,0.9
1014203,0.9
1014204,0.9
1014205,0.9
1014206,0.9
1014301,0.75
1014302,0.75
1014303,0.75
1014304,0.75
1014305,0.75
1014306,0.75
1014401,0.5
1014402,0.5
1014403,0.5
1014404,0.5
1014405,0.5
1014406,0.5
1015101,0.5
1015102,0.5
1015103,1
1015104,1
1015201,0.5
1015202,0.5
1015203,0.9
1015204,0.9
1015301,0.5
1015302,0.75
1015303,0.75
1015304,0.75
1015401,0.5
1015402,0.5
1015403,0.5
1015404,0.5
1016101,0.5
1016102,0.5
1016103,1
1016104,1
1016201,0.5
1016202,0.5
1016203,0.9
1016204,0.9
1016301,0.5
1016302,0.75
1016303,0.75
1016304,0.75
1016401,0.5
1016402,0.5
1016403,0.5
1016404,0.5
1017101,0.5
1017102,0.5
1017103,1
1017104,1
1017201,0.5
1017202,0.5
1017203,0.9
1017204,0.9
1017301,0.5
1017302,0.75
1017303,0.75
1017304,0.75
1017401,0.5
1017402,0.5
1017403,0.5
1017404,0.5
1018101,0.5
1018102,0.5
1018103,1
1018104,1
1018201,0.5
1018202,0.5
1018203,0.9
1018204,0.9
1018301,0.5
1018302,0.75
1018303,0.75
1018304,0.75
1018401,0.5
1018402,0.5
1018403,0.5
1018404,0.5
1031401,0.05
1031402,0.05
1031403,0.05
1031404,0.05
1031405,0.05
1031406,0.05
1032101,0.5
1032102,0.5
1032103,0.5
1032104,0.5
1032105,0.5
1032106,0.5
1032201,0.4
1032202,0.4
1032203,0.4
1032204,0.4
1032205,0.4
1032206,0.4
1032301,0.1
1032302,0.1
1032303,0.1
1032304,0.1
1032305,0.1
1032306,0.1
1032401,0.05
1032402,0.05
1032403,0.05
1032404,0.05
1032405,0.05
1032406,0.05
1033101,0.5
1033102,0.5
1033103,0.5
1033104,0.5
1033105,0.5
1033106,0.5
1033201,0.4
1033202,0.4
1033203,0.4
1033204,0.4
1033205,0.4
1033206,0.4
1033301,0.1
1033302,0.1
1033303,0.1
1033304,0.1
1033305,0.1
1033306,0.1
1033401,0.05
1033402,0.05
1033403,0.05
1033404,0.05
1033405,0.05
1033406,0.05
1034101,0.5
1034102,0.5
1034103,0.5
1034104,0.5
1034105,0.5
1034106,0.5
1034201,0.4
1034202,0.4
1034203,0.4
1034204,0.4
1034205,0.4
1034206,0.4
1034301,0.1
1034302,0.1
1034303,0.1
1034304,0.1
1034305,0.1
1034306,0.1
1034401,0.05
1034402,0.05
1034403,0.05
1034404,0.05
1034405,0.05
1034406,0.05
1051401,0.5
1051402,0.5
1051403,0.5
1051404,0.5
1051405,0.5
1051406,0.5
1052101,0.75
1052102,0.75
1052103,0.75
1052104,0.75
1052105,0.75
1052106,0.75
1052201,0.65
1052202,0.65
1052203,0.65
1052204,0.65
1052205,0.65
1052206,0.65
1052301,0.55
1052302,0.55
1052303,0.55
1052304,0.55
1052305,0.55
1052306,0.55
1052401,0.5
1052402,0.5
1052403,0.5
1052404,0.5
1052405,0.5
1052406,0.5
1053101,0.75
1053102,0.75
1053103,0.75
1053104,0.75
1053105,0.75
1053106,0.75
1053201,0.65
1053202,0.65
1053203,0.65
1053204,0.65
1053205,0.65
1053206,0.65
1053301,0.55
1053302,0.55
1053303,0.55
1053304,0.55
1053305,0.55
1053306,0.55
1053401,0.5
1053402,0.5
1053403,0.5
1053404,0.5
1053405,0.5
1053406,0.5
1054101,0.75
1054102,0.75
1054103,0.75
1054104,0.75
1054105,0.75
1054106,0.75
1054201,0.65
1054202,0.65
1054203,0.65
1054204,0.65
1054205,0.65
1054206,0.65
1054301,0.55
1054302,0.55
1054303,0.55
1054304,0.55
1054305,0.55
1054306,0.55
1054401,0.5
1054402,0.5
1054403,0.5
1054404,0.5
1054405,0.5
1054406,0.5
1061401,0.01
1069000,0.001
1071401,0.001
2011101,1
2011102,1
2011103,1
2011104,1
2011105,1
2011106,1
2011201,0.9
2011202,0.9
2011203,0.9
2011204,0.9
2011205,0.9
2011206,0.9
2011301,0.75
2011302,0.75
2011303,0.75
2011304,0.75
2011305,0.75
2011306,0.75
2012101,1
2012102,1
2012103,1
2012104,1
2012105,1
2012106,1
2012201,0.9
2012202,0.9
2012203,0.9
2012204,0.9
2012205,0.9
2012206,0.9
2012301,0.75
2012302,0.75
2012303,0.75
2012304,0.75
2012305,0.75
2012306,0.75
2012401,0.5
2012402,0.5
2012403,0.5
2012404,0.5
2012405,0.5
2012406,0.5
2013101,1
2013102,1
2013103,1
2013104,1
2013105,1
2013106,1
2013201,0.9
2013202,0.9
2013203,0.9
2013204,0.9
2013205,0.9
2013206,0.9
2013301,0.75
2013302,0.75
2013303,0.75
2013304,0.75
2013305,0.75
2013306,0.75
2013401,0.5
2013402,0.5
2013403,0.5
2013404,0.5
2013405,0.5
2013406,0.5
2014101,1
2014102,1
2014103,1
2014104,1
2014105,1
2014106,1
2014201,0.9
2014202,0.9
2014203,0.9
2014204,0.9
2014205,0.9
2014206,0.9
2014301,0.75
2014302,0.75
2014303,0.75
2014304,0.75
2014305,0.75
2014306,0.75
2014401,0.5
2014402,0.5
2014403,0.5
2014404,0.5
2014405,0.5
2014406,0.5
2015101,0.5
2015102,0.5
2015103,1
2015104,1
2015201,0.5
2015202,0.5
2015203,0.9
2015204,0.9
2015301,0.5
2015302,0.75
2015303,0.75
2015304,0.75
2015401,0.5
2015402,0.5
2015403,0.5
2015404,0.5
2016101,0.5
2016102,0.5
2016103,1
2016104,1
2016201,0.5
2016202,0.5
2016203,0.9
2016204,0.9
2016301,0.5
2016302,0.75
2016303,0.75
2016304,0.75
2016401,0.5
2016402,0.5
2016403,0.5
2016404,0.5
2017101,0.5
2017102,0.5
2017103,1
2017104,1
2017201,0.5
2017202,0.5
2017203,0.9
2017204,0.9
2017301,0.5
2017302,0.75
2017303,0.75
2017304,0.75
2017401,0.5
2017402,0.5
2017403,0.5
2017404,0.5
2018101,0.5
2018102,0.5
2018103,1
2018104,1
2018201,0.5
2018202,0.5
2018203,0.9
2018204,0.9
2018301,0.5
2018302,0.75
2018303,0.75
2018304,0.75
2018401,0.5
2018402,0.5
2018403,0.5
2018404,0.5
2031401,0.05
2031402,0.05
2031403,0.05
2031404,0.05
2031405,0.05
2031406,0.05
2032101,0.5
2032102,0.5
2032103,0.5
2032104,0.5
2032105,0.5
2032106,0.5
2032201,0.4
2032202,0.4
2032203,0.4
2032204,0.4
2032205,0.4
2032206,0.4
2032301,0.1
2032302,0.1
2032303,0.1
2032304,0.1
2032305,0.1
2032306,0.1
2032401,0.05
2032402,0.05
2032403,0.05
2032404,0.05
2032405,0.05
2032406,0.05
2033101,0.5
2033102,0.5
2033103,0.5
2033104,0.5
2033105,0.5
2033106,0.5
2033201,0.4
2033202,0.4
2033203,0.4
2033204,0.4
2033205,0.4
2033206,0.4
2033301,0.1
2033302,0.1
2033303,0.1
2033304,0.1
2033305,0.1
2033306,0.1
2033401,0.05
2033402,0.05
2033403,0.05
2033404,0.05
2033405,0.05
2033406,0.05
2034101,0.5
2034102,0.5
2034103,0.5
2034104,0.5
2034105,0.5
2034106,0.5
2034201,0.4
2034202,0.4
2034203,0.4
2034204,0.4
2034205,0.4
2034206,0.4
2034301,0.1
2034302,0.1
2034303,0.1
2034304,0.1
2034305,0.1
2034306,0.1
2034401,0.05
2034402,0.05
2034403,0.05
2034404,0.05
2034405,0.05
2034406,0.05
3011101,1
3011102,1
3011103,1
3011104,1
3011105,1
3011106,1
3011201,0.9
3011202,0.9
3011203,0.9
3011204,0.9
3011205,0.9
3011206,0.9
3011301,0.75
3011302,0.75
3011303,0.75
3011304,0.75
3011305,0.75
3011306,0.75
3012101,1
3012102,1
3012103,1
3012104,1
3012105,1
3012106,1
3012201,0.9
3012202,0.9
3012203,0.9
3012204,0.9
3012205,0.9
3012206,0.9
3012301,0.75
3012302,0.75
3012303,0.75
3012304,0.75
3012305,0.75
3012306,0.75
3012401,0.5
3012402,0.5
3012403,0.5
3012404,0.5
3012405,0.5
3012406,0.5
3013101,1
3013102,1
3013103,1
3013104,1
3013105,1
3013106,1
3013201,0.9
3013202,0.9
3013203,0.9
3013204,0.9
3013205,0.9
3013206,0.9
3013301,0.75
3013302,0.75
3013303,0.75
3013304,0.75
3013305,0.75
3013306,0.75
3013401,0.5
3013402,0.5
3013403,0.5
3013404,0.5
3013405,0.5
3013406,0.5
3014101,1
3014102,1
3014103,1
3014104,1
3014105,1
3014106,1
3014201,0.9
3014202,0.9
3014203,0.9
3014204,0.9
3014205,0.9
3014206,0.9
3014301,0.75
3014302,0.75
3014303,0.75
3014304,0.75
3014305,0.75
3014306,0.75
3014401,0.5
3014402,0.5
3014403,0.5
3014404,0.5
3014405,0.5
3014406,0.5
3015103,1
3015104,1
3015203,0.9
3015204,0.9
3015302,0.75
3015303,0.75
3015304,0.75
3015401,0.5
3015402,0.5
3015403,0.5
3015404,0.5
3016101,0.5
3016102,0.5
3016103,1
3016104,1
3016201,0.5
3016202,0.5
3016203,0.9
3016204,0.9
3016301,0.5
3016302,0.75
3016303,0.75
3016304,0.75
3016401,0.5
3016402,0.5
3016403,0.5
3016404,0.5
3017101,0.5
3017102,0.5
3017103,1
3017104,1
3017201,0.5
3017202,0.5
3017203,0.9
3017204,0.9
3017301,0.5
3017302,0.75
3017303,0.75
3017304,0.75
3017401,0.5
3017402,0.5
3017403,0.5
3017404,0.5
3018101,0.5
3018102,0.5
3018103,1
3018104,1
3018201,0.5
3018202,0.5
3018203,0.9
3018204,0.9
3018301,0.5
3018302,0.75
3018303,0.75
3018304,0.75
3018401,0.5
3018402,0.5
3018403,0.5
3018404,0.5
3021401,0.3
3021402,0.3
3021403,0.3
3021404,0.3
3021405,0.3
3021406,0.3
3022101,0.75
3022102,0.75
3022103,0.75
3022104,0.75
3022105,0.75
3022106,0.75
3022201,0.65
3022202,0.65
3022203,0.65
3022204,0.65
3022205,0.65
3022206,0.65
3022301,0.35
3022302,0.35
3022303,0.35
3022304,0.35
3022305,0.35
3022306,0.35
3022401,0.3
3022402,0.3
3022403,0.3
3022404,0.3
3022405,0.3
3022406,0.3
3023101,0.75
3023102,0.75
3023103,0.75
3023104,0.75
3023105,0.75
3023106,0.75
3023201,0.65
3023202,0.65
3023203,0.65
3023204,0.65
3023205,0.65
3023206,0.65
3023301,0.35
3023302,0.35
3023303,0.35
3023304,0.35
3023305,0.35
3023306,0.35
3023401,0.3
3023402,0.3
3023403,0.3
3023404,0.3
3023405,0.3
3023406,0.3
3024101,0.75
3024102,0.75
3024103,0.75
3024104,0.75
3024105,0.75
3024106,0.75
3024201,0.65
3024202,0.65
3024203,0.65
3024204,0.65
3024205,0.65
3024206,0.65
3024301,0.35
3024302,0.35
3024303,0.35
3024304,0.35
3024305,0.35
3024306,0.35
3024401,0.3
3024402,0.3
3024403,0.3
3024404,0.3
3024405,0.3
3024406,0.3
3031401,0.2
3031402,0.2
3031403,0.2
3031404,0.2
3031405,0.2
3031406,0.2
3032101,0.65
3032102,0.65
3032103,0.65
3032104,0.65
3032105,0.65
3032106,0.65
3032201,0.55
3032202,0.55
3032203,0.55
3032204,0.55
3032205,0.55
3032206,0.55
3032301,0.25
3032302,0.25
3032303,0.25
3032304,0.25
3032305,0.25
3032306,0.25
3032401,0.2
3032402,0.2
3032403,0.2
3032404,0.2
3032405,0.2
3032406,0.2
3033101,0.65
3033102,0.65
3033103,0.65
3033104,0.65
3033105,0.65
3033106,0.65
3033201,0.55
3033202,0.55
3033203,0.55
3033204,0.55
3033205,0.55
3033206,0.55
3033301,0.25
3033302,0.25
3033303,0.25
3033304,0.25
3033305,0.25
3033306,0.25
3033401,0.2
3033402,0.2
3033403,0.2
3033404,0.2
3033405,0.2
3033406,0.2
3034101,0.65
3034102,0.65
3034103,0.65
3034104,0.65
3034105,0.65
3034106,0.65
3034201,0.55
3034202,0.55
3034203,0.55
3034204,0.55
3034205,0.55
3034206,0.55
3034301,0.25
3034302,0.25
3034303,0.25
3034304,0.25
3034305,0.25
3034306,0.25
3034401,0.2
3034402,0.2
3034403,0.2
3034404,0.2
3034405,0.2
3034406,0.2
3041401,0.01
3041402,0.01
3041403,0.01
3041404,0.01
3041405,0.01
3041406,0.01
3042101,0.5
3042102,0.5
3042103,0.5
3042104,0.5
3042105,0.5
3042106,0.5
3042201,0.4
3042202,0.4
3042203,0.4
3042204,0.4
3042205,0.4
3042206,0.4
3042301,0.1
3042302,0.1
3042303,0.1
3042304,0.1
3042305,0.1
3042306,0.1
3042401,0.05
3042402,0.05
3042403,0.05
3042404,0.05
3042405,0.05
3042406,0.05
3043101,0.5
3043102,0.5
3043103,0.5
3043104,0.5
3043105,0.5
3043106,0.5
3043201,0.4
3043202,0.4
3043203,0.4
3043204,0.4
3043205,0.4
3043206,0.4
3043301,0.1
3043302,0.1
3043303,0.1
3043304,0.1
3043305,0.1
3043306,0.1
3043401,0.05
3043402,0.05
3043403,0.05
3043404,0.05
3043405,0.05
3043406,0.05
3044101,0.5
3044102,0.5
3044103,0.5
3044104,0.5
3044105,0.5
3044106,0.5
3044201,0.4
3044202,0.4
3044203,0.4
3044204,0.4
3044205,0.4
3044206,0.4
3044301,0.1
3044302,0.1
3044303,0.1
3044304,0.1
3044305,0.1
3044306,0.1
3044401,0.05
3044402,0.05
3044403,0.05
3044404,0.05
3044405,0.05
3044406,0.05
3045401,0.01
3045402,0.01
3045403,0.01
3045404,0.01
3046101,0.5
3046102,0.5
3046103,0.5
3046104,0.5
3046201,0.5
3046202,0.5
3046203,0.4
3046204,0.4
3046301,0.5
3046302,0.1
3046303,0.1
3046304,0.1
3046401,0.05
3046402,0.05
3046403,0.05
3046404,0.05
3047101,0.5
3047102,0.5
3047103,0.5
3047104,0.5
3047201,0.5
3047202,0.5
3047203,0.4
3047204,0.4
3047301,0.5
3047302,0.1
3047303,0.1
3047304,0.1
3047401,0.05
3047402,0.05
3047403,0.05
3047404,0.05
3048101,0.5
3048102,0.5
3048103,0.5
3048104,0.5
3048201,0.5
3048202,0.5
3048203,0.4
3048204,0.4
3048301,0.5
3048302,0.1
3048303,0.1
3048304,0.1
3048401,0.05
3048402,0.05
3048403,0.05
3048404,0.05
4011101,1
4011102,1
4011103,1
4011104,1
4011105,1
4011106,1
4011201,0.9
4011202,0.9
4011203,0.9
4011204,0.9
4011205,0.9
4011206,0.9
4011301,0.75
4011302,0.75
4011303,0.75
4011304,0.75
4011305,0.75
4011306,0.75
4012101,1
4012102,1
4012103,1
4012104,1
4012105,1
4012106,1
4012201,0.9
4012202,0.9
4012203,0.9
4012204,0.9
4012205,0.9
4012206,0.9
4012301,0.75
4012302,0.75
4012303,0.75
4012304,0.75
4012305,0.75
4012306,0.75
4012401,0.5
4012402,0.5
4012403,0.5
4012404,0.5
4012405,0.5
4012406,0.5
4013101,1
4013102,1
4013103,1
4013104,1
4013105,1
4013106,1
4013201,0.9
4013202,0.9
4013203,0.9
4013204,0.9
4013205,0.9
4013206,0.9
4013301,0.75
4013302,0.75
4013303,0.75
4013304,0.75
4013305,0.75
4013306,0.75
4013401,0.5
4013402,0.5
4013403,0.5
4013404,0.5
4013405,0.5
4013406,0.5
4014101,1
4014102,1
4014103,1
4014104,1
4014105,1
4014106,1
4014201,0.9
4014202,0.9
4014203,0.9
4014204,0.9
4014205,0.9
4014206,0.9
4014301,0.75
4014302,0.75
4014303,0.75
4014304,0.75
4014305,0.75
4014306,0.75
4014401,0.5
4014402,0.5
4014403,0.5
4014404,0.5
4014405,0.5
4014406,0.5
4015103,1
4015104,1
4015203,0.9
4015204,0.9
4015302,0.75
4015303,0.75
4015304,0.75
4015401,0.5
4015402,0.5
4015403,0.5
4015404,0.5
4016101,0.5
4016102,0.5
4016103,1
4016104,1
4016201,0.5
4016202,0.5
4016203,0.9
4016204,0.9
4016301,0.5
4016302,0.75
4016303,0.75
4016304,0.75
4016401,0.5
4016402,0.5
4016403,0.5
4016404,0.5
4017101,0.5
4017102,0.5
4017103,1
4017104,1
4017201,0.5
4017202,0.5
4017203,0.9
4017204,0.9
4017301,0.5
4017302,0.75
4017303,0.75
4017304,0.75
4017401,0.5
4017402,0.5
4017403,0.5
4017404,0.5
4018101,0.5
4018102,0.5
4018103,1
4018104,1
4018201,0.5
4018202,0.5
4018203,0.9
4018204,0.9
4018301,0.5
4018302,0.75
4018303,0.75
4018304,0.75
4018401,0.5
4018402,0.5
4018403,0.5
4018404,0.5
4021401,0.3
4021402,0.3
4021403,0.3
4021404,0.3
4021405,0.3
4021406,0.3
4022101,0.75
4022102,0.75
4022103,0.75
4022104,0.75
4022105,0.75
4022106,0.75
4022201,0.65
4022202,0.65
4022203,0.65
4022204,0.65
4022205,0.65
4022206,0.65
4022301,0.35
4022302,0.35
4022303,0.35
4022304,0.35
4022305,0.35
4022306,0.35
4022401,0.3
4022402,0.3
4022403,0.3
4022404,0.3
4022405,0.3
4022406,0.3
4023101,0.75
4023102,0.75
4023103,0.75
4023104,0.75
4023105,0.75
4023106,0.75
4023201,0.65
4023202,0.65
4023203,0.65
4023204,0.65
4023205,0.65
4023206,0.65
4023301,0.35
4023302,0.35
4023303,0.35
4023304,0.35
4023305,0.35
4023306,0.35
4023401,0.3
4023402,0.3
4023403,0.3
4023404,0.3
4023405,0.3
4023406,0.3
4024101,0.75
4024102,0.75
4024103,0.75
4024104,0.75
4024105,0.75
4024106,0.75
4024201,0.65
4024202,0.65
4024203,0.65
4024204,0.65
4024205,0.65
4024206,0.65
4024301,0.35
4024302,0.35
4024303,0.35
4024304,0.35
4024305,0.35
4024306,0.35
4024401,0.3
4024402,0.3
4024403,0.3
4024404,0.3
4024405,0.3
4024406,0.3
4031401,0.2
4031402,0.2
4031403,0.2
4031404,0.2
4031405,0.2
4031406,0.2
4032101,0.65
4032102,0.65
4032103,0.65
4032104,0.65
4032105,0.65
4032106,0.65
4032201,0.55
4032202,0.55
4032203,0.55
4032204,0.55
4032205,0.55
4032206,0.55
4032301,0.25
4032302,0.25
4032303,0.25
4032304,0.25
4032305,0.25
4032306,0.25
4032401,0.2
4032402,0.2
4032403,0.2
4032404,0.2
4032405,0.2
4032406,0.2
4033101,0.65
4033102,0.65
4033103,0.65
4033104,0.65
4033105,0.65
4033106,0.65
4033201,0.55
4033202,0.55
4033203,0.55
4033204,0.55
4033205,0.55
4033206,0.55
4033301,0.25
4033302,0.25
4033303,0.25
4033304,0.25
4033305,0.25
4033306,0.25
4033401,0.2
4033402,0.2
4033403,0.2
4033404,0.2
4033405,0.2
4033406,0.2
4034101,0.65
4034102,0.65
4034103,0.65
4034104,0.65
4034105,0.65
4034106,0.65
4034201,0.55
4034202,0.55
4034203,0.55
4034204,0.55
4034205,0.55
4034206,0.55
4034301,0.25
4034302,0.25
4034303,0.25
4034304,0.25
4034305,0.25
4034306,0.25
4034401,0.2
4034402,0.2
4034403,0.2
4034404,0.2
4034405,0.2
4034406,0.2
4041401,0.01
4041402,0.01
4041403,0.01
4041404,0.01
4041405,0.01
4041406,0.01
4042101,0.5
4042102,0.5
4042103,0.5
4042104,0.5
4042105,0.5
4042106,0.5
4042201,0.4
4042202,0.4
4042203,0.4
4042204,0.4
4042205,0.4
4042206,0.4
4042301,0.1
4042302,0.1
4042303,0.1
4042304,0.1
4042305,0.1
4042306,0.1
4042401,0.05
4042402,0.05
4042403,0.05
4042404,0.05
4042405,0.05
4042406,0.05
4043101,0.5
4043102,0.5
4043103,0.5
4043104,0.5
4043105,0.5
4043106,0.5
4043201,0.4
4043202,0.4
4043203,0.4
4043204,0.4
4043205,0.4
4043206,0.4
4043301,0.1
4043302,0.1
4043303,0.1
4043304,0.1
4043305,0.1
4043306,0.1
4043401,0.05
4043402,0.05
4043403,0.05
4043404,0.05
4043405,0.05
4043406,0.05
4044101,0.5
4044102,0.5
4044103,0.5
4044104,0.5
4044105,0.5
4044106,0.5
4044201,0.4
4044202,0.4
4044203,0.4
4044204,0.4
4044205,0.4
4044206,0.4
4044301,0.1
4044302,0.1
4044303,0.1
4044304,0.1
4044305,0.1
4044306,0.1
4044401,0.05
4044402,0.05
4044403,0.05
4044404,0.05
4044405,0.05
4044406,0.05
4045401,0.01
4045402,0.01
4045403,0.01
4045404,0.01
4046101,0.5
4046102,0.5
4046103,0.5
4046104,0.5
4046201,0.5
4046202,0.5
4046203,0.4
4046204,0.4
4046301,0.5
4046302,0.1
4046303,0.1
4046304,0.1
4046401,0.05
4046402,0.05
4046403,0.05
4046404,0.05
4047101,0.5
4047102,0.5
4047103,0.5
4047104,0.5
4047201,0.5
4047202,0.5
4047203,0.4
4047204,0.4
4047301,0.5
4047302,0.1
4047303,0.1
4047304,0.1
4047401,0.05
4047402,0.05
4047403,0.05
4047404,0.05
4048101,0.5
4048102,0.5
4048103,0.5
4048104,0.5
4048201,0.5
4048202,0.5
4048203,0.4
4048204,0.4
4048301,0.5
4048302,0.1
4048303,0.1
4048304,0.1
4048401,0.05
4048402,0.05
4048403,0.05
4048404,0.05
5079000,1
5089000,0
5099000,0
6000000,0
